192.0.0.32, -, 07/06/01, 12:55:40, W3SVC, APHRODITE, 192.0.0.100, 701, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.32, -, 07/06/01, 12:55:41, W3SVC, APHRODITE, 192.0.0.100, 1322, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.32, -, 07/06/01, 12:55:42, W3SVC, APHRODITE, 192.0.0.100, 261, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.32, -, 07/06/01, 12:55:58, W3SVC, APHRODITE, 192.0.0.100, 16904, 287, 6571, 200, 0, GET, /Download/default.htm, -, 
192.0.0.32, -, 07/06/01, 12:55:59, W3SVC, APHRODITE, 192.0.0.100, 290, 261, 1037, 200, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.34, -, 07/06/01, 12:56:28, W3SVC, APHRODITE, 192.0.0.100, 0, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.34, -, 07/06/01, 12:56:31, W3SVC, APHRODITE, 192.0.0.100, 2143, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.34, -, 07/06/01, 12:56:31, W3SVC, APHRODITE, 192.0.0.100, 120, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.202, -, 07/06/01, 15:02:44, W3SVC, APHRODITE, 192.0.0.100, 601, 323, 3850, 200, 0, GET, /default.htm, -, 
192.0.0.202, -, 07/06/01, 15:02:45, W3SVC, APHRODITE, 192.0.0.100, 200, 239, 1037, 200, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.202, -, 07/06/01, 15:02:45, W3SVC, APHRODITE, 192.0.0.100, 150, 249, 9907, 200, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:22, W3SVC, APHRODITE, 192.0.0.100, 0, 256, 72, 304, 0, GET, /default.htm, -, 
192.0.0.202, -, 07/06/01, 15:03:25, W3SVC, APHRODITE, 192.0.0.100, 3926, 301, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:26, W3SVC, APHRODITE, 192.0.0.100, 220, 312, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:40, W3SVC, APHRODITE, 192.0.0.100, 14361, 375, 8557, 200, 0, GET, /Info TSAII/default.htm, -, 
192.0.0.202, -, 07/06/01, 15:03:40, W3SVC, APHRODITE, 192.0.0.100, 300, 277, 10505, 200, 0, GET, /Info TSAII/Images/backgrnd.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:40, W3SVC, APHRODITE, 192.0.0.100, 120, 277, 1203, 200, 0, GET, /Info TSAII/Images/bullet_d.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:40, W3SVC, APHRODITE, 192.0.0.100, 180, 272, 36295, 200, 0, GET, /Info TSAII/Images/idf.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:41, W3SVC, APHRODITE, 192.0.0.100, 240, 277, 1199, 200, 0, GET, /Info TSAII/Images/bullet_p.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:41, W3SVC, APHRODITE, 192.0.0.100, 180, 277, 1204, 200, 0, GET, /Info TSAII/Images/bullet_t.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:41, W3SVC, APHRODITE, 192.0.0.100, 270, 277, 1193, 200, 0, GET, /Info TSAII/Images/bullet_h.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:41, W3SVC, APHRODITE, 192.0.0.100, 271, 277, 1208, 200, 0, GET, /Info TSAII/Images/bullet_s.gif, -, 
192.0.0.202, -, 07/06/01, 15:03:49, W3SVC, APHRODITE, 192.0.0.100, 7962, 398, 2030, 200, 0, GET, /Info TSAII/emploi.htm, -, 
192.0.0.36, -, 07/06/01, 15:21:16, W3SVC, APHRODITE, 192.0.0.100, 221, 285, 3850, 200, 0, GET, /default.htm, -, 
192.0.0.36, -, 07/06/01, 15:21:18, W3SVC, APHRODITE, 192.0.0.100, 2063, 232, 1037, 200, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.36, -, 07/06/01, 15:21:18, W3SVC, APHRODITE, 192.0.0.100, 130, 242, 9907, 200, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.36, -, 07/06/01, 15:21:39, W3SVC, APHRODITE, 192.0.0.100, 20790, 333, 6571, 200, 0, GET, /Download/default.htm, -, 
192.0.0.36, -, 07/06/01, 15:21:39, W3SVC, APHRODITE, 192.0.0.100, 420, 261, 1037, 200, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.36, -, 07/06/01, 15:23:11, W3SVC, APHRODITE, 192.0.0.100, 91622, 356, 324053, 200, 0, GET, /Download/HEX32setup.exe, -, 
192.0.0.200, -, 07/06/01, 15:23:45, W3SVC, APHRODITE, 192.0.0.100, 140, 323, 3850, 200, 0, GET, /default.htm, -, 
192.0.0.200, -, 07/06/01, 15:23:45, W3SVC, APHRODITE, 192.0.0.100, 211, 239, 1037, 200, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:45, W3SVC, APHRODITE, 192.0.0.100, 180, 249, 9907, 200, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 3395, 375, 8557, 200, 0, GET, /Info TSAII/default.htm, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 3505, 277, 10505, 200, 0, GET, /Info TSAII/Images/backgrnd.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 120, 277, 1193, 200, 0, GET, /Info TSAII/Images/bullet_h.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 160, 277, 1203, 200, 0, GET, /Info TSAII/Images/bullet_d.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 260, 272, 36295, 200, 0, GET, /Info TSAII/Images/idf.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 170, 277, 1199, 200, 0, GET, /Info TSAII/Images/bullet_p.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 140, 277, 1208, 200, 0, GET, /Info TSAII/Images/bullet_s.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:49, W3SVC, APHRODITE, 192.0.0.100, 140, 277, 1204, 200, 0, GET, /Info TSAII/Images/bullet_t.gif, -, 
192.0.0.200, -, 07/06/01, 15:23:52, W3SVC, APHRODITE, 192.0.0.100, 2524, 398, 9591, 200, 0, GET, /Info TSAII/emploi.htm, -, 
192.0.0.36, -, 07/06/01, 15:26:21, W3SVC, APHRODITE, 192.0.0.100, 0, 348, 72, 304, 0, GET, /default.htm, -, 
192.0.0.36, -, 07/06/01, 15:26:21, W3SVC, APHRODITE, 192.0.0.100, 511, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.36, -, 07/06/01, 15:26:21, W3SVC, APHRODITE, 192.0.0.100, 0, 305, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.36, -, 07/06/01, 15:26:26, W3SVC, APHRODITE, 192.0.0.100, 4977, 396, 72, 304, 0, GET, /Download/default.htm, -, 
192.0.0.36, -, 07/06/01, 15:26:26, W3SVC, APHRODITE, 192.0.0.100, 4937, 323, 72, 304, 0, GET, /Download/Images/toptxtr.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:20, W3SVC, APHRODITE, 192.0.0.100, 0, 386, 72, 304, 0, GET, /default.htm, -, 
192.0.0.200, -, 07/06/01, 15:31:20, W3SVC, APHRODITE, 192.0.0.100, 50, 301, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:20, W3SVC, APHRODITE, 192.0.0.100, 0, 312, 72, 304, 0, GET, /Info TSAII/Images/Afpa.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 1782, 438, 72, 304, 0, GET, /Info TSAII/default.htm, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 1822, 341, 72, 304, 0, GET, /Info TSAII/Images/backgrnd.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 70, 336, 72, 304, 0, GET, /Info TSAII/Images/idf.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 50, 339, 72, 304, 0, GET, /Info TSAII/Images/bullet_h.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 30, 339, 72, 304, 0, GET, /Info TSAII/Images/bullet_p.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 10, 339, 72, 304, 0, GET, /Info TSAII/Images/bullet_d.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 10, 339, 72, 304, 0, GET, /Info TSAII/Images/bullet_t.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:22, W3SVC, APHRODITE, 192.0.0.100, 30, 339, 72, 304, 0, GET, /Info TSAII/Images/bullet_s.gif, -, 
192.0.0.200, -, 07/06/01, 15:31:24, W3SVC, APHRODITE, 192.0.0.100, 1653, 461, 12856, 200, 0, GET, /Info TSAII/emploi.htm, -, 
192.0.0.32, -, 07/06/01, 15:40:41, W3SVC, APHRODITE, 192.0.0.100, 10, 302, 72, 304, 0, GET, /default.htm, -, 
192.0.0.32, -, 07/06/01, 15:40:43, W3SVC, APHRODITE, 192.0.0.100, 2003, 294, 72, 304, 0, GET, /Images/toptxtr.gif, -, 
